"period","adm_AEX_hoog","adm_AEX_laag","adm_AEX_open","adm_AEX_sluit","adm_AEX_volume","adm_AMX_hoog","adm_AMX_laag","adm_AMX_open","adm_AMX_sluit","adm_SP500_hoog","adm_SP500_laag","adm_SP500_open","adm_SP500_sluit","adm_SP500_volume","arb_beroepsbevolking_totaal","arb_beroepsbevolking_werkloos","arb_beroepsbevolking_werkzaam","arb_cao_lonen_totaal","arb_cao_loonkosten_totaal","arb_uitkering_bijstand","arb_uitkering_ongeschiktheid","arb_uitkering_werkloos","arb_werkloosheidspercentage","ind_consumentenvertrouwen","ind_CPI_afgeleid_diensten","ind_CPI_afgeleid_energie","ind_CPI_afgeleid_goederen","ind_CPI_afgeleid_inflatie_diensten","ind_CPI_afgeleid_inflatie_energie","ind_CPI_afgeleid_inflatie_goederen","ind_CPI_afgeleid_inflatie_kern","ind_CPI_afgeleid_inflatie_totaal","ind_CPI_afgeleid_inflatie_voeding","ind_CPI_afgeleid_inflatie_woninghuur","ind_CPI_afgeleid_kern","ind_CPI_afgeleid_totaal","ind_CPI_afgeleid_voeding","ind_CPI_afgeleid_woninghuur","ind_CPI_diensten","ind_CPI_energie","ind_CPI_goederen","ind_CPI_inflatie_diensten","ind_CPI_inflatie_energie","ind_CPI_inflatie_goederen","ind_CPI_inflatie_kern","ind_CPI_inflatie_totaal","ind_CPI_inflatie_voeding","ind_CPI_inflatie_woninghuur","ind_CPI_kern","ind_CPI_totaal","ind_CPI_voeding","ind_CPI_woninghuur","ind_economisch_klimaat","ind_economische_situatie_toekomst","ind_economische_situatie_verleden","ind_EICP","ind_EICP_inflatie","ind_faillissementen","ind_financiele_situatie_toekomst","ind_financiele_situatie_verleden","ind_grote_aankopen","ind_HICP","ind_HICP_inflatie","ind_koopbereidheid","ind_MUICP","ind_MUICP_inflatie","ind_PPI_afzetprijzen_binnenland_basismetalen","ind_PPI_afzetprijzen_binnenland_chemie","ind_PPI_afzetprijzen_binnenland_delfstoffenwinning","ind_PPI_afzetprijzen_binnenland_gas_elektriciteit","ind_PPI_afzetprijzen_binnenland_machines","ind_PPI_afzetprijzen_binnenland_voeding","ind_PPI_afzetprijzen_buitenland_basismetalen","ind_PPI_afzetprijzen_buitenland_chemie","ind_PPI_afzetprijzen_buitenland_delfstoffenwinning","ind_PPI_afzetprijzen_buitenland_gas_elektriciteit","ind_PPI_afzetprijzen_buitenland_machines","ind_PPI_afzetprijzen_buitenland_voeding","ind_PPI_invoerprijzen_basismetalen","ind_PPI_invoerprijzen_chemie","ind_PPI_invoerprijzen_delfstoffenwinning","ind_PPI_invoerprijzen_gas_elektriciteit","ind_PPI_invoerprijzen_machines","ind_PPI_invoerprijzen_voeding","ind_PPI_verbruiksprijzen_basismetalen","ind_PPI_verbruiksprijzen_chemie","ind_PPI_verbruiksprijzen_delfstoffenwinning","ind_PPI_verbruiksprijzen_gas_elektriciteit","ind_PPI_verbruiksprijzen_machines","ind_PPI_verbruiksprijzen_voeding","ind_producentenvertrouwen_sectorC","int_invoer_goederen_brandstoffen","int_invoer_goederen_chemische_producten","int_invoer_goederen_dranken_tabak","int_invoer_goederen_fabricaten","int_invoer_goederen_gefabriceerd","int_invoer_goederen_grondstoffen","int_invoer_goederen_machines","int_invoer_goederen_niet_afzonderlijk_genoemd","int_invoer_goederen_niet_fysiek","int_invoer_goederen_olien","int_invoer_goederen_totaal","int_invoer_goederen_voeding_levende_dieren","int_invoer_prijs_index","int_invoer_prijs_inflatie","int_invoer_volume_index","int_invoer_volume_inflatie","int_invoer_waarde_index","int_invoer_waarde_inflatie","int_ruilvoet_index","int_ruilvoet_inflatie","int_uitvoer_goederen_brandstoffen","int_uitvoer_goederen_chemische_producten","int_uitvoer_goederen_dranken_tabak","int_uitvoer_goederen_fabricaten","int_uitvoer_goederen_gefabriceerd","int_uitvoer_goederen_grondstoffen","int_uitvoer_goederen_machines","int_uitvoer_goederen_niet_afzonderlijk_genoemd","int_uitvoer_goederen_niet_fysiek","int_uitvoer_goederen_olien","int_uitvoer_goederen_totaal","int_uitvoer_goederen_voeding_levende_dieren","int_uitvoer_prijs_index","int_uitvoer_prijs_inflatie","int_uitvoer_volume_index","int_uitvoer_volume_inflatie","int_uitvoer_waarde_index","int_uitvoer_waarde_inflatie","prd_productie_index_aardolie_en_aardgaswinning","prd_productie_index_basismetalen","prd_productie_index_chemie","prd_productie_index_delfstoffenwinning","prd_productie_index_gas_en_elektriciteit","prd_productie_index_industrie","prd_productie_index_machines","prd_productie_index_nijverheid_en_energie","prd_productie_index_voeding","rwk_Amerikaanse_dollar_euro","rwk_basisherfinancieringsrente_flexibel","rwk_basisherfinancieringsrente_vast","rwk_Britse_pond_euro","rwk_Chinese_yuan_euro","rwk_depositorente","rwk_Euribor_1_jaar","rwk_Euribor_1_maand","rwk_Euribor_3_maanden","rwk_Euribor_6_maanden","rwk_Japanse_yen_euro","rwk_marginale_beleningsrente","wnm_aantal_verkochte_koopwoningen_bestaand","wnm_bouwvergunning_recreatiewoningen","wnm_bouwvergunning_woningen","wnm_bouwvergunning_wooneenheden","wnm_gemiddelde_verkoopprijs_koopwoningen_bestaand","wnm_huizenprijsindex_inflatie_koopwoningen_bestaand","wnm_huizenprijsindex_koopwoningen_bestaand","wnm_totale_verkoopprijs_koopwoningen_bestaand","wnm_voorraad_niet_woningen_Nederland","wnm_voorraad_niet_woningen_Noord_Nederland","wnm_voorraad_niet_woningen_Oost_Nederland","wnm_voorraad_niet_woningen_West_Nederland","wnm_voorraad_niet_woningen_Zuid_Nederland","wnm_voorraad_woningen_Nederland","wnm_voorraad_woningen_Noord_Nederland","wnm_voorraad_woningen_Oost_Nederland","wnm_voorraad_woningen_West_Nederland","wnm_voorraad_woningen_Zuid_Nederland"
"1995M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,20,16,NA,NA,478,12,3,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4,NA,38.7,NA,36.2,NA,93.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.7,NA,42,NA,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.63,7.14,7.29,7.39,NA,NA,10626,NA,NA,NA,89808,NA,41.6,954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,18,NA,NA,443,11,5,4,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2,NA,40.5,NA,36.5,NA,96.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,NA,39.6,NA,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,7.01,7.04,7.09,NA,NA,12746,NA,NA,NA,92326,NA,41.8,1177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,15,13,NA,NA,455,12,4,3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.5,NA,41.4,NA,37.4,NA,97.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,41.8,NA,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24,7.05,7.08,7.11,NA,NA,13682,NA,NA,NA,93652,NA,42.2,1281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,14,NA,NA,476,13,7,4,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.1,NA,37.4,NA,33.7,NA,96.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.3,NA,36.8,NA,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,6.86,6.92,6.99,NA,NA,14346,NA,NA,NA,95222,NA,42.7,1366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,20,19,NA,NA,506,15,9,6,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,NA,35.5,NA,32.7,NA,97.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.8,NA,35.9,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83,6.63,6.66,6.71,NA,NA,13580,NA,NA,NA,96583,NA,43.2,1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,19,17,NA,NA,510,15,9,7,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.9,NA,40.5,NA,36.8,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.2,NA,42.5,NA,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.59,6.48,6.5,6.54,NA,NA,12572,NA,NA,NA,95676,NA,43.3,1203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995M10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,26,23,NA,NA,528,17,10,9,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8,NA,40,NA,37.1,NA,95.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,39.3,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.76,6.69,6.75,6.78,NA,NA,13629,NA,NA,NA,95076,NA,43.5,1296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995M11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,25,23,NA,NA,515,17,10,8,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.6,NA,41.2,NA,38.9,NA,93.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.3,NA,42.1,NA,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43,6.42,6.45,6.43,NA,NA,13363,NA,NA,NA,95408,NA,43.4,1275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995M12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,19,12,NA,NA,404,13,5,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.5,NA,40.7,NA,39.3,NA,93.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3,NA,40.8,NA,36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21,6.38,6.32,6.26,NA,NA,19290,NA,NA,NA,96804,NA,43.9,1867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,64.25,65.19,82.26,NA,NA,NA,NA,NA,NA,NA,72.58,72.28,74.11,57.61,62.61,46.75,74.53,NA,NA,NA,NA,NA,NA,NA,70.69,68.03,67.84,57.61,13,16,10,69.4,NA,494,11,5,2,67.94,NA,6,70.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5,-1.8,40.3,7.9,37.3,6,91.9,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,-1.6,42,3.4,35.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69,5.87,5.81,5.73,NA,NA,10193,NA,NA,NA,96767,7.9,44.5,986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,64.29,65.27,82.79,NA,NA,NA,NA,NA,NA,NA,72.89,72.55,74.29,57.61,62.65,46.8,75,NA,NA,NA,NA,NA,NA,NA,70.99,68.29,68.01,57.61,1,3,-1,69.7,NA,440,11,4,1,68.29,NA,5,71.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,-2.1,39.5,3.7,35.4,1.6,94.3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.3,-1.5,41,5,34.6,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,5.63,5.58,5.54,NA,NA,12061,NA,NA,NA,96539,8,44.8,1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,64.3,65.5,84.22,NA,NA,NA,NA,NA,NA,NA,73.53,73.22,75.3,57.61,62.66,46.97,76.28,NA,NA,NA,NA,NA,NA,NA,71.61,68.92,68.93,57.61,-13,-12,-13,70,NA,477,9,2,1,69.11,NA,4,71.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8,0,46,4.3,42.7,4.3,95,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.2,-0.2,47.2,5.5,41.6,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55,5.5,5.5,5.49,NA,NA,13415,NA,NA,NA,98188,9.1,45.2,1317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,64.38,66.53,84.56,NA,NA,NA,NA,NA,NA,NA,73.74,73.44,75.22,57.61,62.74,47.7,76.6,NA,NA,NA,NA,NA,NA,NA,71.82,69.13,68.85,57.61,-19,-20,-19,70.19,NA,437,11,5,2,69.32,NA,6,71.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3,0.9,39.1,0.9,36.8,1.9,93.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.5,1,39.9,-5,35.3,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.32,5.32,5.27,5.26,NA,NA,14610,NA,NA,NA,99609,10.4,45.9,1455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,64.45,66.38,84.02,NA,NA,NA,NA,NA,NA,NA,73.71,73.26,74.39,57.61,62.81,47.6,76.11,NA,NA,NA,NA,NA,NA,NA,71.78,68.96,68.1,57.61,-10,-9,-12,70.37,NA,482,13,5,1,69.04,NA,6,71.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2,0,41.8,3.2,37.7,3.2,97.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.2,1,40.2,1.6,35.5,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,5.15,5.06,5.03,NA,NA,15548,NA,NA,NA,101317,11.1,46.5,1575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,64.45,65.81,83.39,NA,NA,NA,NA,NA,NA,NA,73.45,72.95,73.99,57.61,62.81,47.19,75.53,NA,NA,NA,NA,NA,NA,NA,71.53,68.67,67.73,57.61,-2,0,-4,70.39,NA,454,15,6,4,68.7,NA,8,71.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,0,41.9,1.3,38,1.4,97.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.4,0.5,42.5,1.8,37.6,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19,5.11,5.08,5.08,NA,NA,13652,NA,NA,NA,99819,10.6,46.7,1363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,65.75,67.1,82.35,NA,NA,NA,NA,NA,NA,NA,73.56,73.14,73.99,59.94,64.08,48.08,74.58,NA,NA,NA,NA,NA,NA,NA,71.64,68.84,67.73,59.94,7,10,4,70.28,NA,450,18,7,6,68.49,NA,10,71.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.7,0.6,39.9,6.6,36.2,7.3,97,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,0.8,39.9,8.3,35.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.18,5.09,5.06,5.07,NA,NA,17802,NA,NA,NA,104167,11.1,47.4,1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,65.76,66.91,82.13,NA,NA,NA,NA,NA,NA,NA,73.66,73.04,73.09,59.94,64.09,47.95,74.39,NA,NA,NA,NA,NA,NA,NA,71.74,68.75,66.91,59.94,7,10,3,70.32,NA,438,18,8,6,68.36,NA,11,71.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.4,0.3,38.7,9.1,35.8,9.4,97.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3,0.6,37.7,4.9,34,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,5.07,5.08,5.1,NA,NA,14922,NA,NA,NA,105608,11.1,48,1576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65.73,67.67,83.62,NA,NA,NA,NA,NA,NA,NA,74.43,73.72,73.3,59.94,64.06,48.27,75.7,NA,NA,NA,NA,NA,NA,NA,72.48,69.37,67.17,59.94,13,17,10,70.53,NA,454,20,9,5,69.11,NA,11,71.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8,1,42.6,5.2,39.1,6.3,97.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.8,1.9,42.4,-0.2,38.1,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.96,4.84,4.86,4.88,NA,NA,13858,NA,NA,NA,104589,12.1,48.5,1449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65.83,67.97,83.85,NA,NA,NA,NA,NA,NA,NA,74.57,73.89,73.55,59.94,64.15,48.47,75.91,NA,NA,NA,NA,NA,NA,NA,72.62,69.53,67.4,59.94,24,28,19,70.58,NA,550,22,8,7,69.32,NA,12,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.4,2.8,43,7.7,41,10.7,95.5,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,2.3,41.4,5.5,37.7,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.67,4.71,4.69,4.66,NA,NA,14781,NA,NA,NA,104819,11.9,48.7,1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,65.71,68.03,83.81,NA,NA,NA,NA,NA,NA,NA,74.46,73.8,73.55,59.94,64.04,48.52,75.87,NA,NA,NA,NA,NA,NA,NA,72.5,69.45,67.39,59.94,20,23,18,70.61,NA,455,20,8,5,69.18,NA,11,72.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.5,2,43.2,5,41.7,7.1,93.2,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9,1.8,43.6,3.5,39.2,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54,4.59,4.57,4.53,NA,NA,14700,NA,NA,NA,106055,13.1,49.1,1559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996M12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,65.73,68.18,83.57,NA,NA,NA,NA,NA,NA,NA,74.23,73.72,74.01,59.94,64.05,48.62,75.66,NA,NA,NA,NA,NA,NA,NA,72.28,69.37,67.82,59.94,21,21,21,70.8,NA,446,18,6,3,69.11,NA,9,72.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,2.4,42.6,4.5,42.1,7.1,93.2,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1,2,42.9,5.3,39.6,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,4.6,4.5,4.42,NA,NA,20209,NA,NA,NA,108073,12.2,49.3,2184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
